id,name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,duration,key,mode,tempo,time_sig
2NvOZnTfvrJVTTfsqtvFRa,"A Todos Menos a Mi","Cada Vez Mas Pelotudos",0.001300,0.621000,0.904000,0.000000,0.106000,-3.013000,0.055600,0.746000,133733,8,1,120.029999,4
2UikW3zPTMjb8ORSpnHzaG,"La del Diego","La Concha de Dio$",0.000437,0.570000,0.938000,0.000000,0.115000,-4.921000,0.056100,0.416000,267071,10,0,125.027000,4
2r5f3lOKqNxZ4O0WP6yPBj,"Criminales de memoria","Reviviendo Huestes",0.005600,0.288000,0.972000,0.000000,0.058000,-4.820000,0.095000,0.324000,196438,5,1,154.164993,4
2vIbfRoK24bQMTLMiQDr01,"Mi Voto Vale?","La Concha de Dio$",0.000053,0.353000,0.990000,0.000457,0.147000,-4.626000,0.209000,0.298000,175696,11,1,190.007004,4
33xkyBjxhaPrYpJoAkBjv4,"Prisionero De Un Dolor","Poder",0.001630,0.352000,0.687000,0.045900,0.108000,-4.299000,0.032300,0.153000,309133,7,1,118.563004,4
3NDLVzAtbx2vMbhV32TwO4,"Rock Del Suicida","Estamos Pariendo",0.000537,0.572000,0.633000,0.211000,0.353000,-6.649000,0.028100,0.446000,288120,4,0,133.522995,1
3NinK7SFwCpOVyHEdvNuqz,"Ayer Deseo, Hoy Realidad","En Concierto Parte I",0.000001,0.334000,0.903000,0.922000,0.683000,-7.783000,0.049500,0.584000,184120,1,1,147.014999,4
3YnRwLxy4eX17axcqoOS9u,"Cuatro Vientos","Vieja Escuela",0.000233,0.522000,0.962000,0.000108,0.081800,-3.867000,0.050600,0.319000,327467,1,1,125.025002,4
3bmXkAAHIotJ2GOhcPk8sr,"La Lengua Del Diablo","Lleva Tu Mente Al Límite",0.000026,0.373000,0.968000,0.000186,0.225000,-4.195000,0.124000,0.178000,239099,11,0,182.964996,3
3hXMjwhdtiYrIwUieWrc7U,"Comunicación","Uno",0.000005,0.369000,0.969000,0.011300,0.363000,-4.186000,0.154000,0.430000,274733,9,1,195.744995,4
3knk1noCJ1yiHYWSdvW048,"Caníbal","Un lugar que nunca muere (Vol. 2)",0.000137,0.267000,0.961000,0.031700,0.149000,-5.494000,0.077100,0.176000,224064,2,1,158.121002,4
3l5OsrU2ysYaYtHgJ7LPC3,"Libre Como el Viento","Aún Sigo Latiendo",0.000082,0.430000,0.835000,0.000020,0.528000,-5.687000,0.042700,0.484000,278362,8,1,135.102005,4
3oZxR1PFNG8le9xoEjNCrn,"Sentenciado a la Calle - En Vivo","Reinará el Thrash (En Vivo)",0.000054,0.285000,0.987000,0.069400,0.778000,-6.174000,0.099100,0.038600,310000,2,1,97.002998,4
3wqkMFbJQ5SiGkFSg06fP7,"Poeta Inedito","Sentir Metalero",0.000031,0.338000,0.752000,0.000010,0.058200,-4.452000,0.051700,0.430000,215373,0,1,103.370003,4
4HS0i5GBS0QzaIHwyQvcTU,"En Carne Viva","Horizonte Rojo Sangre",0.000126,0.500000,0.992000,0.017400,0.087000,-3.082000,0.082000,0.403000,207935,0,1,92.014000,4
4NrrgxSrQ84k9tD4meBYbK,"A Ultranza","Venas de Acero",0.006340,0.406000,0.920000,0.000058,0.447000,-3.838000,0.047600,0.572000,279200,3,0,167.983002,4
4OaG1T7mOE9qIEY78JKt55,"No tenemos opción","Naturaleza Muerta",0.000631,0.620000,0.726000,0.000006,0.300000,-7.118000,0.026300,0.360000,178184,9,1,131.977997,4
4PrDppTh5HlCGm2UK2jdML,"Soy un luchador","Rock Directo",0.000823,0.407000,0.903000,0.000005,0.299000,-2.902000,0.041500,0.911000,202547,0,1,174.934006,4
